d,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
12,27,0.003608226776123047,27,0.01557302474975586
12,16,0.002048015594482422,16,0.020626068115234375
12,14,0.0016400814056396484,14,0.01711893081665039
12,19,0.002340078353881836,19,0.021529674530029297
12,53,0.009799003601074219,53,0.03615403175354004
12,16,0.0018620491027832031,16,0.016961097717285156
12,18,0.002223968505859375,18,0.020889997482299805
12,6,0.0006458759307861328,6,0.0006153583526611328
12,37,0.005861759185791016,37,0.03341317176818848
12,47,0.00810098648071289,47,0.0294189453125
