d,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
20,165,0.053826093673706055,165,22.081565856933594
20,460,0.3998410701751709,460,17.709371328353882
20,394,0.2928287982940674,394,16.735992193222046
20,80,0.017946958541870117,80,3.7356631755828857
20,458,0.37535691261291504,458,18.883805751800537
20,178,0.06432485580444336,178,20.904850006103516
20,58,0.011627912521362305,58,2.0911049842834473
20,54,0.010071992874145508,54,0.15242695808410645
20,297,0.1689159870147705,297,15.46637511253357
20,205,0.09166407585144043,205,13.536034107208252
