d,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
8,8,0.0008640289306640625,8,0.0008189678192138672
8,11,0.0013499259948730469,11,0.0034132003784179688
8,10,0.0011892318725585938,10,0.001912832260131836
8,9,0.001032114028930664,9,0.0017828941345214844
8,11,0.0012791156768798828,11,0.001920938491821289
8,12,0.0014081001281738281,12,0.0037009716033935547
8,9,0.0010433197021484375,9,0.0021677017211914062
8,4,0.0004360675811767578,4,0.0005099773406982422
8,10,0.001177072525024414,10,0.0019059181213378906
8,12,0.0014400482177734375,12,0.0037298202514648438
